Back of male dorsal fin curve,Open Saddle,White Scar Pattern,Black Scar Pattern,Location of Largest,Total Nicks,Low Nicks,Mid Nicks,Upper Nicks,Fin Condition,Sex,Number of Whales,Whale ID List
curved inward,uncertain,No scars,uncertain (picture quality),middle,2,1,1,0,whole,male,1,307 
curved inward,open,No scars,grid scars,middle,2,1,1,0,whole,male,1,356 
curved inward,uncertain,No scars,parralel scars,lower,2,1,1,0,whole,male,1,88 
curved inward,closed,No scars,grid scars,lower,2,1,1,0,whole,male,1,295 
no curve,closed,No scars,parralel scars,lower,1,0,1,0,whole,male,1,16 
curved inward,closed,Isolated scars,parralel scars,middle,1,0,1,0,whole,male,2,42 258 
no curve,open,No scars,parralel scars,middle,1,0,1,0,whole,male,4,147 163 203 304 
no curve,uncertain,No scars,parralel scars,middle,1,0,1,0,whole,male,2,176 386 
curved inward,closed,No scars,parralel scars,middle,1,0,1,0,whole,male,1,273 
no curve,closed,No scars,parralel scars,middle,1,0,1,0,whole,male,1,419 
no curve,closed,No scars,grid scars,middle,1,0,1,0,whole,male,2,46 271 
no curve,uncertain,No scars,grid scars,middle,1,0,1,0,whole,male,1,303 
no curve,uncertain,No scars,uncertain (picture quality),middle,1,0,1,0,whole,male,1,95 
curved inward,uncertain,No scars,uncertain (picture quality),middle,1,0,1,0,whole,male,1,240 
curved inward,closed,No scars,uncertain (picture quality),middle,1,0,1,0,whole,male,1,101 
curved inward,closed,Isolated scars,uncertain (picture quality),middle,1,0,1,0,whole,male,1,142 
curved inward,closed,mixed scars (blurred pattern),uncertain (picture quality),middle,1,0,1,0,whole,male,1,337 
curved inward,uncertain,No scars,Isolated scars,middle,1,0,1,0,whole,male,1,223 
curved inward,closed,Isolated scars,No scars,middle,1,0,1,0,whole,male,2,275 312 
no curve,closed,No scars,mixed scars (blurred pattern),middle,1,0,1,0,whole,male,1,308 
no curve,open,No scars,mixed scars (blurred pattern),middle,1,0,1,0,whole,male,1,413 
curved inward,closed,No scars,parralel scars,none,3,1,2,0,whole,male,1,11 
curved inward,uncertain,No scars,parralel scars,middle,3,1,2,0,whole,male,1,252 
no curve,closed,No scars,parralel scars,middle,3,1,2,0,whole,male,1,270 
no curve,closed,parralel scars,parralel scars,middle,2,0,2,0,whole,male,1,59 
curved inward,closed,No scars,parralel scars,middle,2,0,2,0,whole,male,1,97 
no curve,closed,No scars,mixed scars (blurred pattern),middle,2,0,2,0,whole,male,1,76 
no curve,uncertain,parralel scars,uncertain (picture quality),middle,2,0,2,0,whole,male,1,229 
no curve,uncertain,No scars,uncertain (picture quality),middle,2,0,2,0,whole,male,1,305 
no curve,closed,No scars,parralel scars,multiple knicks the same size in multiple areas,5,0,2,3,whole,male,1,2 
curved inward,open,No scars,mixed scars (blurred pattern),none,4,1,0,3,whole,male,1,7 
no curve,closed,No scars,grid scars,upper,3,0,0,3,whole,male,1,24 
curved inward,open,No scars,parralel scars,none,5,1,1,3,whole,male,1,10 
no curve,open,No scars,parralel scars,upper,4,0,1,3,whole,male,1,28 
uncertain,closed,No scars,parralel scars,multiple knicks the same size in multiple areas,7,3,1,3,whole,male,1,82 
uncertain,open,parralel scars,grid scars,upper,2,1,0,1,whole,male,1,3 
curved inward,closed,No scars,parralel scars,upper,2,1,0,1,whole,male,1,34 
curved inward,open,No scars,Isolated scars,lower,2,1,0,1,whole,male,1,87 
curved inward,uncertain,No scars,uncertain (picture quality),middle,2,1,0,1,whole,male,1,274 
no curve,open,mixed scars (blurred pattern),uncertain (picture quality),upper,1,0,0,1,whole,male,1,4 
curved inward,closed,No scars,uncertain (picture quality),upper,1,0,0,1,whole,male,1,235 
curved inward,uncertain,No scars,uncertain (picture quality),upper,1,0,0,1,whole,male,1,236 
curved inward,open,No scars,uncertain (picture quality),upper,1,0,0,1,whole,male,1,297 
curved inward,open,No scars,parralel scars,upper,1,0,0,1,whole,male,3,20 204 311 
no curve,open,No scars,parralel scars,upper,1,0,0,1,whole,male,3,86 171 194 
no curve,closed,No scars,parralel scars,upper,1,0,0,1,whole,male,2,55 362 
curved inward,closed,No scars,parralel scars,upper,1,0,0,1,whole,male,2,83 414 
no curve,uncertain,No scars,parralel scars,upper,1,0,0,1,whole,male,1,175 
curved inward,closed,mixed scars (blurred pattern),parralel scars,upper,1,0,0,1,whole,male,1,22 
no curve,open,parralel scars,parralel scars,upper,1,0,0,1,whole,male,1,185 
curved inward,closed,Isolated scars,parralel scars,upper,1,0,0,1,whole,male,1,379 
curved inward,uncertain,No scars,Isolated scars,upper,1,0,0,1,whole,male,1,65 
no curve,open,No scars,Isolated scars,upper,1,0,0,1,whole,male,1,153 
curved inward,closed,No scars,No scars,upper,1,0,0,1,whole,male,2,75 249 
no curve,closed,No scars,No scars,upper,1,0,0,1,whole,male,1,78 
no curve,closed,mixed scars (blurred pattern),No scars,upper,1,0,0,1,whole,male,1,261 
curved inward,open,No scars,mixed scars (blurred pattern),upper,1,0,0,1,whole,male,1,90 
no curve,open,No scars,grid scars,upper,1,0,0,1,whole,male,3,145 213 440 
curved inward,open,No scars,grid scars,upper,1,0,0,1,whole,male,1,164 
no curve,closed,No scars,parralel scars,none,1,0,0,1,whole,male,1,18 
curved inward,closed,No scars,uncertain (picture quality),middle,2,0,1,1,whole,male,1,66 
curved inward,uncertain,No scars,uncertain (picture quality),middle,2,0,1,1,whole,male,1,207 
curved inward,open,grid scars,parralel scars,middle,2,0,1,1,whole,male,1,93 
curved inward,open,No scars,parralel scars,middle,2,0,1,1,whole,male,2,228 380 
no curve,closed,No scars,uncertain (picture quality),lower,3,1,1,1,whole,male,1,230 
no curve,closed,No scars,parralel scars,middle,3,1,1,1,whole,male,1,355 
curved inward,closed,No scars,parralel scars,upper,4,2,1,1,whole,male,1,255 
no curve,uncertain,No scars,uncertain (picture quality),multiple knicks the same size in multiple areas,4,2,1,1,whole,male,1,283 
no curve,closed,No scars,parralel scars,lower,4,1,2,1,whole,male,1,73 
curved inward,closed,No scars,parralel scars,middle,4,1,2,1,whole,male,1,421 
no curve,closed,No scars,Isolated scars,middle,3,0,2,1,whole,male,1,409 
no curve,uncertain,No scars,uncertain (picture quality),upper,5,1,3,1,whole,male,1,391 
curved inward,closed,No scars,grid scars,upper,3,1,0,2,whole,male,1,6 
no curve,closed,No scars,mixed scars (blurred pattern),middle,3,1,0,2,whole,male,1,64 
no curve,closed,No scars,parralel scars,multiple knicks the same size in multiple areas,3,1,0,2,whole,male,1,332 
curved inward,open,No scars,parralel scars,upper,2,0,0,2,whole,male,3,33 107 310 
no curve,open,No scars,parralel scars,upper,2,0,0,2,whole,male,1,416 
no curve,uncertain,No scars,parralel scars,upper,2,0,0,2,whole,male,2,180 388 
curved inward,closed,No scars,parralel scars,upper,2,0,0,2,whole,male,1,256 
no curve,uncertain,No scars,grid scars,upper,2,0,0,2,whole,male,1,61 
no curve,closed,No scars,grid scars,upper,2,0,0,2,whole,male,1,79 
no curve,closed,No scars,Isolated scars,upper,2,0,0,2,whole,male,1,148 
no curve,open,No scars,Isolated scars,upper,2,0,0,2,whole,male,1,343 
curved inward,uncertain,No scars,uncertain (picture quality),upper,2,0,0,2,whole,male,1,437 
curved inward,open,No scars,Isolated scars,multiple knicks the same size in multiple areas,2,0,0,2,whole,male,1,322 
curved inward,open,No scars,No scars,upper,4,2,0,2,whole,male,1,403 
no curve,open,No scars,mixed scars (blurred pattern),upper,3,0,1,2,whole,male,1,62 
curved inward,open,grid scars,No scars,upper,3,0,1,2,whole,male,1,313 
no curve,uncertain,No scars,parralel scars,upper,3,0,1,2,whole,male,1,314 
curved inward,closed,No scars,uncertain (picture quality),upper,3,0,1,2,whole,male,1,397 
curved inward,uncertain,No scars,grid scars,middle,3,0,1,2,whole,male,1,250 
no curve,uncertain,No scars,Isolated scars,multiple knicks the same size in multiple areas,6,1,3,2,whole,male,1,315 
uncertain,closed,No scars,parralel scars,upper,4,0,2,2,whole,male,1,361 
curved inward,uncertain,No scars,uncertain (picture quality),unknown (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),whole,male,1,29 
uncertain,open,No scars,uncertain (picture quality),unknown (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),whole,male,1,208 
no curve,uncertain,No scars,No scars,unknown (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),whole,male,1,183 
curved inward,uncertain,No scars,parralel scars,unknown (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),whole,male,1,187 
no curve,open,No scars,grid scars,unknown (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),whole,male,1,435 
curved inward,open,No scars,parralel scars,unknown (picture quality),uncertain,uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),whole,male,1,108 
no curve,closed,No scars,grid scars,unknown (picture quality),uncertain (picture quality),0,0,uncertain (picture quality),whole,male,1,77 
curved inward,uncertain,mixed scars (blurred pattern),No scars,upper,6,0,1,12,whole,male,1,53 
no dorsal fin,closed,Isolated scars,No scars,dorsal fin broken off,1,0,broken dorsal fin,broken dorsal fin,whole,male,1,63 
no dorsal fin,closed,No scars,No scars,unknown (picture quality),1,broken dorsal fin,broken dorsal fin,broken dorsal fin,whole,male,1,329 
no curve,closed,No scars,No scars,multiple knicks the same size in multiple areas,5,0,1,4,whole,male,1,71 
curved inward,closed,No scars,mixed scars (blurred pattern),middle,5,0,1,4,whole,male,1,321 
curved inward,closed,No scars,parralel scars,upper,4,0,0,4,whole,male,1,288 
floppy,open,No scars,uncertain (picture quality),upper,1,0,0,broken dorsal tip,whole,male,1,188 
uncertain,uncertain,Isolated scars,parralel scars,upper,1,0,0,broken dorsal tip,whole,male,1,239 
no dorsal fin,open,No scars,grid scars,upper,1,0,0,broken dorsal tip,whole,male,1,253 
curved inward,open,uncertain (picture quality),parralel scars,middle,2,0,1,broken dorsal tip,whole,male,1,209 
curved inward,open,Isolated scars,parralel scars,upper,4,1,2,broken dorsal tip,whole,male,1,436 
curved inward,uncertain,No scars,uncertain (picture quality),multiple knicks the same size in multiple areas,5,1,2,2,missing tip,male,1,405 
no curve,open,No scars,No scars,none,0,0,0,0,missing tip,male,1,408 
curved inward,closed,parralel scars,mixed scars (blurred pattern),none,0,0,0,0,missing tip,male,1,428 
curved inward,closed,No scars,mixed scars (blurred pattern),unknown (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),missing tip,male,1,422 
curved inward,uncertain,No scars,uncertain (picture quality),none,0,0,0,0,completely broken off,male,1,439 
female,open,No scars,uncertain (picture quality),middle,1,1,0,0,whole,female,1,9 
female,closed,No scars,mixed scars (blurred pattern),upper,1,1,0,0,whole,female,1,40 
female,open,No scars,uncertain (picture quality),lower,1,1,0,0,whole,female,2,99 331 
female,closed,parralel scars,uncertain (picture quality),lower,1,1,0,0,whole,female,1,276 
female,open,No scars,parralel scars,lower,1,1,0,0,whole,female,2,102 225 
female,closed,No scars,parralel scars,lower,1,1,0,0,whole,female,1,344 
female,open,parralel scars,parralel scars,lower,1,1,0,0,whole,female,1,220 
female,open,Isolated scars,parralel scars,lower,1,1,0,0,whole,female,1,412 
female,open,No scars,Isolated scars,lower,1,1,0,0,whole,female,1,133 
female,open,parralel scars,Isolated scars,lower,1,1,0,0,whole,female,1,248 
female,closed,No scars,grid scars,lower,1,1,0,0,whole,female,1,289 
female,closed,No scars,uncertain (picture quality),none,0,0,0,0,whole,female,8,37 48 50 251 294 334 363 431 
female,open,No scars,uncertain (picture quality),none,0,0,0,0,whole,female,4,131 132 268 375 
female,open,Isolated scars,uncertain (picture quality),none,0,0,0,0,whole,female,1,302 
female,closed,Isolated scars,uncertain (picture quality),none,0,0,0,0,whole,female,1,376 
female,closed,parralel scars,uncertain (picture quality),none,0,0,0,0,whole,female,1,330 
female,closed,parralel scars,mixed scars (blurred pattern),none,0,0,0,0,whole,female,1,38 
female,closed,No scars,mixed scars (blurred pattern),none,0,0,0,0,whole,female,3,39 103 370 
female,open,No scars,mixed scars (blurred pattern),none,0,0,0,0,whole,female,6,111 115 116 293 371 373 
female,uncertain,No scars,mixed scars (blurred pattern),none,0,0,0,0,whole,female,1,358 
female,closed,No scars,parralel scars,none,0,0,0,0,whole,female,10,47 110 221 285 286 357 366 417 429 434 
female,open,No scars,parralel scars,none,0,0,0,0,whole,female,21,74 92 126 127 149 190 224 244 300 324 325 328 352 353 367 381 395 396 400 402 430 
female,uncertain,No scars,parralel scars,none,0,0,0,0,whole,female,2,122 377 
female,open,parralel scars,parralel scars,none,0,0,0,0,whole,female,3,98 113 339 
female,closed,parralel scars,parralel scars,none,0,0,0,0,whole,female,1,172 
female,uncertain,parralel scars,parralel scars,none,0,0,0,0,whole,female,1,399 
female,open,Isolated scars,parralel scars,none,0,0,0,0,whole,female,2,118 411 
female,closed,Isolated scars,parralel scars,none,0,0,0,0,whole,female,1,205 
female,open,mixed scars (blurred pattern),parralel scars,none,0,0,0,0,whole,female,2,138 327 
female,open,grid scars,parralel scars,none,0,0,0,0,whole,female,2,326 336 
female,closed,Isolated scars,No scars,none,0,0,0,0,whole,female,1,81 
female,closed,No scars,No scars,none,0,0,0,0,whole,female,2,119 200 
female,closed,grid scars,No scars,none,0,0,0,0,whole,female,1,298 
female,open,Isolated scars,Isolated scars,none,0,0,0,0,whole,female,1,114 
female,open,No scars,Isolated scars,none,0,0,0,0,whole,female,6,130 169 199 272 345 393 
female,uncertain,No scars,Isolated scars,none,0,0,0,0,whole,female,3,150 152 390 
female,closed,No scars,Isolated scars,none,0,0,0,0,whole,female,4,170 287 378 432 
female,open,parralel scars,Isolated scars,none,0,0,0,0,whole,female,1,141 
female,open,No scars,grid scars,none,0,0,0,0,whole,female,9,137 178 198 238 241 284 372 441 442 
female,closed,No scars,grid scars,none,0,0,0,0,whole,female,1,368 
female,open,Isolated scars,grid scars,none,0,0,0,0,whole,female,1,201 
female,closed,parralel scars,grid scars,none,0,0,0,0,whole,female,1,216 
female,open,No scars,parralel scars,lower,2,2,0,0,whole,female,1,124 
female,closed,No scars,mixed scars (blurred pattern),lower,2,1,1,0,whole,female,1,57 
female,uncertain,No scars,uncertain (picture quality),middle,2,1,1,0,whole,female,1,121 
female,closed,No scars,parralel scars,middle,2,1,1,0,whole,female,1,333 
female,open,No scars,grid scars,middle,1,0,1,0,whole,female,1,94 
female,closed,No scars,grid scars,middle,1,0,1,0,whole,female,1,96 
female,uncertain,No scars,parralel scars,middle,1,0,1,0,whole,female,1,135 
female,open,No scars,parralel scars,middle,1,0,1,0,whole,female,1,351 
female,closed,Isolated scars,uncertain (picture quality),middle,1,0,1,0,whole,female,1,234 
female,open,No scars,Isolated scars,middle,1,0,1,0,whole,female,1,323 
female,closed,No scars,No scars,middle,1,0,1,0,whole,female,1,398 
female,closed,parralel scars,No scars,middle,1,0,1,0,whole,female,1,424 
female,closed,parralel scars,Isolated scars,lower,3,2,1,0,whole,female,1,319 
female,closed,No scars,uncertain (picture quality),middle,2,0,2,0,whole,female,1,335 
female,uncertain,No scars,uncertain (picture quality),middle,2,0,2,0,whole,female,1,385 
female,uncertain,No scars,uncertain (picture quality),middle,3,1,2,0,whole,female,1,338 
female,closed,Isolated scars,parralel scars,upper,2,0,0,2,whole,female,1,27 
female,open,No scars,parralel scars,upper,2,0,0,2,whole,female,1,136 
female,open,No scars,uncertain (picture quality),upper,2,0,0,2,whole,female,1,168 
female,open,No scars,uncertain (picture quality),lower,3,1,0,2,whole,female,1,140 
female,closed,No scars,mixed scars (blurred pattern),upper,1,0,0,1,whole,female,1,85 
female,open,No scars,mixed scars (blurred pattern),upper,1,0,0,1,whole,female,1,139 
female,open,No scars,parralel scars,upper,1,0,0,1,whole,female,1,104 
female,closed,No scars,parralel scars,upper,1,0,0,1,whole,female,1,354 
female,open,Isolated scars,parralel scars,upper,1,0,0,1,whole,female,1,106 
female,open,No scars,grid scars,upper,1,0,0,1,whole,female,2,166 182 
female,open,parralel scars,Isolated scars,upper,1,0,0,1,whole,female,1,218 
female,closed,parralel scars,Isolated scars,upper,1,0,0,1,whole,female,1,383 
female,uncertain,No scars,uncertain (picture quality),upper,1,0,0,1,whole,female,1,278 
female,closed,No scars,mixed scars (blurred pattern),lower,2,1,0,1,whole,female,1,100 
female,open,No scars,Isolated scars,middle,2,0,1,1,whole,female,1,309 
female,uncertain,uncertain (picture quality),uncertain (picture quality),multiple knicks the same size in multiple areas,2,0,1,1,whole,female,1,415 
female,open,No scars,uncertain (picture quality),middle,4,2,1,1,whole,female,1,346 
female,open,Isolated scars,mixed scars (blurred pattern),unknown (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),whole,female,1,125 
female,open,No scars,Isolated scars,unknown (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),whole,female,2,128 211 
female,closed,No scars,No scars,unknown (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),whole,female,1,269 
female,closed,No scars,parralel scars,unknown (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),whole,female,1,394 
female,open,grid scars,uncertain (picture quality),upper,3,0,0,3,whole,female,1,291 
female,closed,No scars,grid scars,middle,1,0,1,0,missing tip,female,1,425 
female,open,No scars,parralel scars,none,0,0,0,0,completely broken off,female,1,438 
female,open,Isolated scars,grid scars,none,0,0,0,0,floppy fin,female,1,443 
uncertain,closed,No scars,parralel scars,unknown (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),uncertain (picture quality),whole,uncertain (picture quality),1,374
